Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.07,-0.28,2.99,-0.12,-0.04,-0.01
10.15,-0.34,2.94,-0.14,-0.09,-0.03
8.17,-0.01,3.16,-0.41,-0.09,-0.05
9.92,-1.13,1.89,-0.3,-0.04,0.08
10.29,-0.29,2.16,-0.14,-0.55,-0.11
10,-0.2,1.03,-0.01,-0.47,-0.05
10.54,0.58,0.07,-0.34,-0.18,0.05
10.74,-0.31,-0.16,-0.18,-0.2,-0.04
11.33,0.5,-0.94,-0.04,-0.17,-0.08
11.28,-0.13,-1.2,0.12,-0.27,-0.04
10.76,-0.34,-2.06,-0.11,-0.1,0.03
10.55,-0.74,-2.17,-0.07,0,0.02
12.3,-0.45,-2.95,-0.47,-0.97,-0.09
9.11,0.17,-4.18,-0.17,-1.37,-0.06
5.84,-0.17,-5.47,-0.04,-1.05,-0.01
5.98,-0.05,-7.52,-0.18,-0.09,0.03
6.34,-0.27,-6.74,-0.03,0.86,0.14
8.13,-0.74,-4.25,-0.16,1.45,0.07
8.68,-0.1,-1.57,-0.06,1.46,0.05
9.53,-0.55,0.79,-0.04,0.89,-0.11
9.96,-0.57,1.73,-0.02,0.54,-0.01
10.23,-0.56,2.8,-0.07,0.2,-0.04
10.17,-0.51,2.68,-0.13,-0.04,-0.03
10.21,-0.39,2.51,-0.1,-0.1,-0.06
10.08,-0.45,2.54,-0.08,-0.02,-0.02
10.25,-0.45,2.54,-0.16,0.01,-0.03
