Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.66,-0.67,1.22,0.01,-0.11,0.03
10.59,-0.74,0.57,-0.05,-0.67,-0.01
9.26,-0.54,-0.89,-0.05,-2.23,-0.1
7.18,-0.53,-5.83,-0.22,-2.17,-0.02
3.97,-0.71,-8.63,-0.22,-1.61,0.18
0.69,-0.15,-9.38,0.03,-0.88,0.27
0.06,-0.96,-8.8,-0.17,-0.39,0.21
-0.38,-0.21,-9.68,-0.36,-0.62,0.06
-2.27,0.71,-8.94,-0.37,-0.46,-0.05
-1.75,0.22,-7.72,-0.06,-0.11,-0.13
-2.66,0.06,-9.17,-0.22,-0.24,-0.11
-3.31,0.58,-9.57,-0.05,0.14,0.02
-1.3,0.39,-7.04,-0.17,0.08,0
-3.03,0.31,-9.02,0.24,-0.26,-0.09
-3.52,0,-10.15,-0.27,0.58,0.06
-1.39,0.22,-9.57,-0.08,1.13,0.19
1.66,0.1,-7.7,-0.03,1.68,0.33
5.05,0.34,-6.38,0.05,1.81,0.26
7.67,-0.59,-4.28,0.19,1.8,0.17
9.62,-1.03,-1.19,0,1.69,0.07
10.41,-0.93,1.1,0.15,1.23,0.11
10.3,-1.06,2.82,0.56,0.58,-0.03
9.91,-0.7,3.74,0.28,0.19,0.14
9.89,-1.29,4.19,0.36,0.02,0.02
10.07,-1.19,4.1,0.01,-0.25,0.05
9.87,-1.11,3.41,-0.06,-0.33,0.05
